Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,7781.500000,7849.750000,7759.000000,7790.000000,7790.000000,310126
2019-07-02,7792.500000,7843.250000,7763.000000,7838.250000,7838.250000,406594
2019-07-03,null,null,null,null,null,null
2019-07-05,7887.750000,7909.750000,7797.250000,7851.500000,7851.500000,209604
2019-07-07,null,null,null,null,null,null
2019-07-08,7855.000000,7863.500000,7777.500000,7801.000000,7801.000000,375287
2019-07-09,7802.250000,7858.750000,7743.000000,7845.250000,7845.250000,342228
2019-07-10,7848.000000,7949.500000,7811.250000,7928.750000,7928.750000,346314
2019-07-11,7924.250000,7963.250000,7894.250000,7918.750000,7918.750000,442842
2019-07-12,7917.250000,7967.500000,7911.750000,7960.000000,7960.000000,407894
2019-07-14,null,null,null,null,null,null
2019-07-15,7958.250000,7992.000000,7941.250000,7986.750000,7986.750000,299817
2019-07-16,7982.750000,8001.500000,7924.000000,7942.750000,7942.750000,247176
2019-07-17,7939.750000,7966.250000,7868.000000,7885.500000,7885.500000,303702
2019-07-18,7868.000000,7954.750000,7833.000000,7933.500000,7933.500000,303890
2019-07-19,7950.500000,7980.750000,7815.250000,7842.750000,7842.750000,413722
2019-07-21,null,null,null,null,null,null
2019-07-22,7830.000000,7936.500000,7826.250000,7924.750000,7924.750000,438469
2019-07-23,7926.500000,7985.750000,7908.000000,7983.750000,7983.750000,355209
2019-07-24,7944.000000,8051.750000,7925.250000,8038.000000,8038.000000,357765
2019-07-25,8004.500000,8034.500000,7917.250000,7981.750000,7981.750000,356159
2019-07-26,7992.000000,8040.750000,7987.500000,8019.750000,8019.750000,433945
2019-07-28,null,null,null,null,null,null
2019-07-29,8017.500000,8031.750000,7951.750000,8001.250000,8001.250000,322305
2019-07-30,8004.250000,8020.000000,7928.250000,7963.250000,7963.250000,301214
2019-07-31,7992.500000,8001.250000,7782.250000,7866.750000,7866.750000,394698
2019-08-01,7834.000000,8014.500000,7776.750000,7808.250000,7808.250000,556437
2019-08-02,7797.000000,7806.000000,7650.250000,7702.250000,7702.250000,772956
2019-08-04,null,null,null,null,null,null
2019-08-05,7701.750000,7705.500000,7359.750000,7385.250000,7385.250000,736453
2019-08-06,7349.000000,7549.000000,7224.500000,7515.500000,7515.500000,848399
2019-08-07,7512.750000,7577.500000,7387.500000,7553.250000,7553.250000,845239
2019-08-08,7553.500000,7738.500000,7526.000000,7735.750000,7735.750000,851275
2019-08-09,7699.500000,7724.000000,7596.750000,7660.250000,7660.250000,553666
2019-08-11,null,null,null,null,null,null
2019-08-12,7654.500000,7710.000000,7534.750000,7566.750000,7566.750000,619044
2019-08-13,7570.250000,7789.500000,7514.000000,7748.000000,7748.000000,552715
2019-08-14,7746.500000,7767.500000,7477.000000,7488.750000,7488.750000,674983
2019-08-15,7469.000000,7572.750000,7388.250000,7496.250000,7496.250000,825231
2019-08-16,7509.250000,7632.500000,7502.500000,7611.750000,7611.750000,705042
2019-08-18,null,null,null,null,null,null
2019-08-19,7617.250000,7750.000000,7616.000000,7727.500000,7727.500000,449473
2019-08-20,7717.250000,7752.000000,7655.500000,7668.000000,7668.000000,401476
2019-08-21,7655.000000,7765.750000,7652.250000,7750.250000,7750.250000,414176
2019-08-22,7756.000000,7782.250000,7654.000000,7711.250000,7711.250000,344352
2019-08-23,7705.750000,7762.000000,7447.750000,7504.500000,7504.500000,487622
2019-08-25,null,null,null,null,null,null
2019-08-26,7435.000000,7626.000000,7353.250000,7590.500000,7590.500000,763864
2019-08-27,7591.500000,7648.500000,7537.000000,7562.750000,7562.750000,617907
2019-08-28,7564.000000,7605.750000,7504.250000,7599.250000,7599.250000,520966
2019-08-29,7582.250000,7730.250000,7548.500000,7712.000000,7712.000000,480975
2019-08-30,7704.250000,7770.500000,7646.000000,7690.750000,7690.750000,447668
2019-09-01,null,null,null,null,null,null
2019-09-03,7628.250000,7695.500000,7580.750000,7617.500000,7617.500000,450746
2019-09-04,7614.250000,7730.000000,7608.500000,7722.750000,7722.750000,643037
2019-09-05,7722.000000,7886.750000,7717.250000,7855.500000,7855.500000,399672
2019-09-06,7853.500000,7895.000000,7838.250000,7857.750000,7857.750000,478413
2019-09-08,null,null,null,null,null,null
2019-09-09,7857.000000,7887.000000,7798.500000,7830.750000,7830.750000,356484
2019-09-10,7834.000000,7857.750000,7744.250000,7815.000000,7815.000000,372953
2019-09-11,7818.500000,7905.000000,7786.500000,7889.750000,7889.750000,446533
2019-09-12,7893.250000,7982.750000,7886.750000,7921.500000,7921.500000,383871
2019-09-13,7916.250000,7958.500000,7881.750000,7886.000000,7886.000000,448979
2019-09-15,null,null,null,null,null,null
2019-09-16,7856.750000,7873.250000,7776.250000,7856.500000,7856.500000,243852
2019-09-17,7864.000000,7897.500000,7828.000000,7890.250000,7890.250000,199321
2019-09-18,7890.750000,7906.750000,7790.000000,7894.250000,7894.250000,147539
2019-09-19,7898.750000,7951.000000,7830.500000,7896.250000,7896.250000,122281
2019-09-20,7899.500000,7932.750000,7890.750000,7899.479980,7899.479980,69135
2019-09-22,null,null,null,null,null,null
2019-09-23,7839.250000,7897.500000,7807.750000,7850.500000,7850.500000,425158
2019-09-24,7869.000000,7904.750000,7701.750000,7735.250000,7735.250000,348180
2019-09-25,7738.250000,7844.250000,7663.000000,7820.250000,7820.250000,609261
2019-09-26,7822.500000,7842.750000,7734.750000,7787.250000,7787.250000,540081
2019-09-27,7787.000000,7822.000000,7641.000000,7701.250000,7701.250000,489320
2019-09-29,7735.500000,7759.000000,7705.750000,7721.500000,7721.500000,817737
2019-09-30,7735.500000,7788.750000,7705.750000,7770.500000,7770.500000,598171
2019-10-01,7784.000000,7841.500000,7691.000000,7695.500000,7695.500000,337872
2019-10-02,7711.000000,7730.500000,7525.500000,7546.250000,7546.250000,478759
2019-10-03,7551.500000,7661.500000,7474.250000,7658.500000,7658.500000,586568
2019-10-04,7656.750000,7773.750000,7624.000000,7767.250000,7767.250000,582820
2019-10-06,7712.500000,7747.250000,7682.500000,7737.750000,7737.750000,663479
2019-10-07,7712.500000,7799.750000,7682.500000,7740.000000,7740.000000,420539
2019-10-08,7736.000000,7784.500000,7613.500000,7622.000000,7622.000000,381262
2019-10-09,7621.000000,7732.000000,7604.500000,7699.750000,7699.750000,552145
2019-10-10,7702.250000,7798.750000,7583.250000,7760.250000,7760.250000,404170
2019-10-11,7783.250000,7918.500000,7767.000000,7859.000000,7859.000000,535042
2019-10-13,7850.250000,7893.250000,7850.000000,7892.750000,7892.750000,531805
2019-10-14,7850.250000,7894.750000,7807.000000,7857.500000,7857.500000,490521
2019-10-15,7862.250000,7971.750000,7859.750000,7959.750000,7959.750000,311101
2019-10-16,7960.000000,7960.250000,7907.500000,7948.500000,7948.500000,347657
2019-10-17,7954.250000,7994.750000,7922.000000,7952.750000,7952.750000,347550
2019-10-18,7953.750000,7958.500000,7835.750000,7880.750000,7880.750000,368623
2019-10-20,7874.250000,7892.500000,7865.750000,7890.500000,7890.500000,408434
2019-10-21,7874.250000,7951.750000,7865.750000,7948.250000,7948.250000,437753
2019-10-22,7949.250000,7988.750000,7837.250000,7858.750000,7858.750000,275031
2019-10-23,7846.250000,7918.250000,7810.250000,7901.500000,7901.500000,377545
2019-10-24,7922.750000,7984.000000,7913.250000,7928.250000,7928.250000,348671
2019-10-25,7928.500000,8041.500000,7918.500000,8035.750000,8035.750000,380967
2019-10-27,8048.000000,8062.750000,8048.000000,8058.000000,8058.000000,474887
2019-10-28,8048.000000,8127.500000,8048.000000,8094.750000,8094.750000,348318
2019-10-29,8109.250000,8118.750000,8050.750000,8055.250000,8055.250000,309114
2019-10-30,8057.250000,8141.000000,8020.500000,8111.250000,8111.250000,351246
2019-10-31,8128.500000,8139.000000,8046.000000,8090.250000,8090.250000,381307
2019-11-01,8094.250000,8168.000000,8084.500000,8160.250000,8160.250000,448458
2019-11-03,8165.000000,8181.000000,8164.000000,8176.750000,8176.750000,143119
2019-11-04,8165.000000,8233.750000,8164.000000,8215.750000,8215.750000,348326
2019-11-05,8221.500000,8248.000000,8193.250000,8210.750000,8210.750000,325479
2019-11-06,8208.000000,8228.250000,8161.000000,8207.250000,8207.250000,305795
2019-11-07,8213.750000,8282.250000,8190.000000,8230.500000,8230.500000,314414
2019-11-08,8230.000000,8264.250000,8190.000000,8257.250000,8257.250000,366403
2019-11-10,8257.250000,8261.750000,8251.500000,8254.250000,8254.250000,60671
2019-11-11,8257.250000,8261.750000,8206.500000,8249.750000,8249.750000,326871
2019-11-12,8253.250000,8300.250000,8228.500000,8275.000000,8275.000000,229844
2019-11-13,8273.000000,8281.500000,8220.000000,8265.750000,8265.750000,316729
2019-11-14,8269.000000,8285.500000,8216.250000,8265.500000,8265.500000,382042
2019-11-15,8267.500000,8324.000000,8261.250000,8318.750000,8318.750000,381593
2019-11-17,8318.750000,8323.000000,8307.250000,8310.500000,8310.500000,145950
2019-11-18,8318.750000,8367.000000,8279.250000,8333.500000,8333.500000,367145
2019-11-19,8335.000000,8379.000000,8312.500000,8341.500000,8341.500000,370609
2019-11-20,8333.000000,8348.000000,8231.000000,8291.750000,8291.750000,373942
2019-11-21,8261.500000,8308.000000,8240.000000,8274.500000,8274.500000,526978
2019-11-22,8280.250000,8313.500000,8233.250000,8280.500000,8280.500000,411833
2019-11-24,8303.250000,8311.750000,8296.500000,8306.250000,8306.250000,225178
2019-11-25,8303.250000,8379.250000,8296.500000,8376.500000,8376.500000,344497
2019-11-26,8374.250000,8422.000000,8366.250000,8400.750000,8400.750000,259485
2019-11-27,8402.750000,8458.750000,8397.000000,8454.750000,8454.750000,285726
2019-11-29,null,null,null,null,null,null
